@START:Expressions	English	Português	Español
@START:ShortNames	en	pt	es
@START:LangType	Dev	Dev	Fan
			
@Misc			
<yes>	Yes	Sim	Si
<no>	No	Não	No
<ok>	OK	OK	Ok
<start>	Start	Iniciar	Iniciar
<failure>	Failure	Falha	Error
<disabled>	Disabled	Inativo	Desactivado
<enabled>	Enabled	Ativo	Activado
<cancel>	Cancel	Cancelar	Cancelar
			
@MenuExpressions			
<startGame>	Start game	Começar partida	iniciar partida
<connectToGame>	Connect to game	Conectar a jogo	Conectarse a una partida
<options>	Options	Opções	Opciones
<credits>	Credits	Créditos	Créditos
<mainMenu>	Main Menu	Menu Principal	Menú Principal
<quit>	Quit	Sair	Salir
<play>	Play game	Jogar	Jugar
<playDescription>	Play an online or single player match	Jogar uma partida sozinho ou online	Jugar una partida online o solo
<quitDescription>	Quit to desktop	Sair para a área de trabalho	Salir al Escritorio
<back>	Back	Voltar	Volver
<backToMainMenu>	Back to main menu	Voltar para o menu principal	Volver al menú principal
<controls>	Controls	Controles	Controles
<controlsDescription>	Adjust keyboard and mouse settings	Ajustar opções de teclado e mouse	Configuración de Mouse y Teclado
<audio>	Audio	Áudio	Sonido
<audioDescription>	Adjust audio volume and language	Ajustar volume e idioma	Ajustes de Volumen e Idioma
<graphics>	Graphics	Gráficos	Gráficos
<graphicsDescription>	Choose the graphical quality for optimal performance	Escolha a qualidade dos efeitos gráficos	Elegir calidad gráfica para obtener la mejor experiencia
<optionsDescription>	Configure your game	Configure seu jogo	Configuración de la partida
<creditsDescription>	About the developer	Informações sobre o desenvolvedor	Sobre el desarrollador
<startSingle>	Start singleplayer	Jogar sozinho	Jugar Solo
<startSingleDescription>	Starts a single player match	Inicia uma partida solo	Empezar una partida solo
<startMultiplayer>	Start multiplayer	Criar partida online	Multijugador
<startMultiDescription>	Hosts an online multiplayer match	Hospeda uma partida multiplayer online	Crear una partida multijugador
<connect>	Connect to game	Conectar a partida	Conectarse a una partida
<toConnect>	Connect	Conectar	Conectarse
<connectDescription>	Connects to a multiplayer game	Conecta a uma partida multiplayer online	Conectarse a una partida multijugador
<serverSettings>	Server settings	Configurações do servidor	Configuración del Servidor
<confirmAction>	Confirm your action	Confirme a ação	Confirmar
<sureQuitGame>	Are you sure you want to quit the game?	Tem certeza de que quer sair do jogo?	¿Estás seguro de querer salir del juego?
<sureQuitMatch>	Are you sure you want to leave the match?	Tem certeza de que quer sair da partida?	¿Estás seguro de querer abandonar la partida?
<lobby>	Lobby	Sala de espera	Sala de Espera
<small>	Small	Pequeno	Pequeño
<big>	Big	Grande	Grande
<ready>	Ready	Pronto	Listo
<menu>	Menu	Menu	Menú
<serverPanel>	Server panel	Painel do servidor	Panel del Servidor
<resume>	Resume	Resumir	Continuar
<backToLobby>	Back to lobby	Voltar para o lobby	Volver a la sala de espera
<welcomeToZB2>	Welcome to Zumbi Blocks 2	Bem vindo ao Zumbi Blocks 2	Bienvenido a Zumbi Blocks 2
<chooseNameAndLang>	Choose your name, and language:	Escolha o seu nome e idioma:	Elija su nombre e idioma:
<playerName>	Player Name	Nome	Nombre
<language>	Language	Idioma	Idioma
<nameTooShort>	name is too short	nome muito curto	el nombre es muy corto
<confirm>	Confirm	Confirmar	Confirmar
<createdBy>	A game made by Adrian KS	Jogo criado por Adrian KS	Juego creado por Adrian KS
<enterToContinue>	Press ENTER to continue	Tecle ENTER para continuar	Presione ENTER para continuar
<rotateItem>	Rotate item	Girar item	Rotar objeto
<suicide>	Suicide	Suicídio	Suicidio
<sureSuicide>	Are you sure you want to kill yourself?	Tem certeza de que quer se matar?	¿Estás seguro de que quieres suicidarte?
<reviveFriend>	Revive friend	Reviver amigo	Revivir amigo
<splitStack>	Split stack	Dividir items	Dividir la pila
